,Company_Name,Weight
0,"STARWOOD PROPERTY TRUST, INC.",0.01851
1,EQUITY COMMONWEALTH,0.16327
2,ANNALY CAPITAL MANAGEMENT INC,0.05094
3,EASTGROUP PROPERTIES INC,0.01785
4,CROWN CASTLE INTERNATIONAL CORP,0.02634
5,"MFA FINANCIAL, INC.",0.05101
6,DUKE REALTY CORP,0.05369
7,"GAMING & LEISURE PROPERTIES, INC.",0.06734
8,RAYONIER INC,0.00876
9,HMG COURTLAND PROPERTIES INC,0.03187
10,"HEALTHCARE TRUST OF AMERICA, INC.",0.02052
11,ALEXANDERS INC,0.01487
12,PUBLIC STORAGE,0.06339
13,SUN COMMUNITIES INC,0.14907
14,EQUINIX INC,0.07068
15,GREAT AJAX CORP.,0.13806
16,LTC PROPERTIES INC,0.00036
17,HIGHWOODS PROPERTIES INC,0.05347
