Company_Name,Weight
ALEXANDERS INC,0.01487
RAYONIER INC,0.00876
EASTGROUP PROPERTIES INC,0.01785
EQUINIX INC,0.07068
"MFA FINANCIAL, INC.",0.05101
"HEALTHCARE TRUST OF AMERICA, INC.",0.02052
PUBLIC STORAGE,0.06339
LTC PROPERTIES INC,0.00036
ANNALY CAPITAL MANAGEMENT INC,0.05094
"GAMING & LEISURE PROPERTIES, INC.",0.06734
"STARWOOD PROPERTY TRUST, INC.",0.01851
EQUITY COMMONWEALTH,0.16327
HMG COURTLAND PROPERTIES INC,0.03187
SUN COMMUNITIES INC,0.14907
GREAT AJAX CORP.,0.13806
HIGHWOODS PROPERTIES INC,0.05347
DUKE REALTY CORP,0.05369
CROWN CASTLE INTERNATIONAL CORP,0.02634
