,Company_Name,Weight
0,"PACIRA PHARMACEUTICALS, INC.",0.0288
1,MANNKIND CORP,0.00136
2,AXOVANT SCIENCES LTD.,0.02162
3,"TELIGENT, INC.",0.08773
4,PROGENICS PHARMACEUTICALS INC,0.07063
5,BIOSPECIFICS TECHNOLOGIES CORP,0.01813
6,XOMA CORP,0.04907
7,"LEXICON PHARMACEUTICALS, INC.",0.0447
8,"ACLARIS THERAPEUTICS, INC.",0.05848
9,JOHNSON & JOHNSON,0.106
10,ZOETIS INC.,0.15867
11,FLEXION THERAPEUTICS INC,0.06494
12,ANI PHARMACEUTICALS INC,0.05767
13,"CONCERT PHARMACEUTICALS, INC.",0.02808
14,"FORTRESS BIOTECH, INC.",0.00223
15,NATURES SUNSHINE PRODUCTS INC,0.12507
16,ARENA PHARMACEUTICALS INC,0.07682
