,Company_Name,Weight
0,REALPAGE INC,0.02637
1,"BLACK KNIGHT, INC.",0.0109
2,QUMU CORP,0.04725
3,"ENDURANCE INTERNATIONAL GROUP HOLDINGS, INC.",0.11228
4,TABLEAU SOFTWARE INC,0.05614
5,"POLARITYTE, INC.",0.2
6,ELLIE MAE INC,0.00827
7,SPS COMMERCE INC,0.02199
8,ANSYS INC,0.06752
9,VEEVA SYSTEMS INC,0.00393
10,APPFOLIO INC,0.02
11,"BRIDGELINE DIGITAL, INC.",0.03593
12,"2U, INC.",0.17282
13,GSE SYSTEMS INC,0.01215
14,MICROSTRATEGY INC,0.12752
15,NATIONAL INSTRUMENTS CORP,0.02857
16,3D SYSTEMS CORP,0.02612
17,INTELLIGENT SYSTEMS CORP,0.02224
