,Company_Name,Weight
0,KILROY REALTY CORP,0.07864
1,NATIONAL STORAGE AFFILIATES TRUST,0.03862
2,EQUITY COMMONWEALTH,0.04242
3,IMPAC MORTGAGE HOLDINGS INC,0.02059
4,CYRUSONE INC.,0.08523
5,HIGHWOODS PROPERTIES INC,0.02267
6,"MANHATTAN BRIDGE CAPITAL, INC",0.0098
7,VORNADO REALTY TRUST,0.01771
8,FRANKLIN STREET PROPERTIES CORP /MA/,0.04327
9,ISTAR INC.,0.02747
10,EQUITY RESIDENTIAL,0.12677
11,"EMPIRE STATE REALTY TRUST, INC.",0.03364
12,DRIVE SHACK INC.,0.01299
13,LTC PROPERTIES INC,0.04618
14,AMERICAN CAMPUS COMMUNITIES INC,0.06287
15,CHERRY HILL MORTGAGE INVESTMENT CORP,0.03513
16,CUBESMART,0.01261
17,LAMAR ADVERTISING CO/NEW,0.07446
18,GEO GROUP INC,0.00966
19,"RYMAN HOSPITALITY PROPERTIES, INC.",0.01746
20,OUTFRONT MEDIA INC.,0.073
21,CIM COMMERCIAL TRUST CORP,0.00884
22,"COLONY NORTHSTAR, INC.",0.00385
23,"STARWOOD PROPERTY TRUST, INC.",0.00937
24,HMG COURTLAND PROPERTIES INC,0.00635
25,HOWARD HUGHES CORP,0.08041
