,Company_Name,Weight
0,"CB FINANCIAL SERVICES, INC.",0.01083
1,"INDEPENDENT BANK GROUP, INC.",0.04493
2,HOWARD BANCORP INC,0.04524
3,UNION BANKSHARES CORP,0.00045
4,"RELIANT BANCORP, INC.",0.00914
5,"GERMAN AMERICAN BANCORP, INC.",0.02778
6,FIRST FINANCIAL BANKSHARES INC,0.00116
7,"SERVISFIRST BANCSHARES, INC.",0.03152
8,BAR HARBOR BANKSHARES,0.00804
9,"LIVE OAK BANCSHARES, INC.",0.0344
10,WEST BANCORPORATION INC,0.02403
11,WESTERN ALLIANCE BANCORPORATION,0.01272
12,VILLAGE BANK & TRUST FINANCIAL CORP.,0.01429
13,TWO RIVER BANCORP,0.03476
14,SUMMIT FINANCIAL GROUP INC,0.05077
15,CITIZENS FINANCIAL GROUP INC/RI,0.00108
16,COMMUNITY WEST BANCSHARES /,0.03518
17,FIRST COMMUNITY CORP /SC/,0.01502
18,HEARTLAND FINANCIAL USA INC,0.02852
19,TEXAS CAPITAL BANCSHARES INC/TX,0.03947
20,OLD LINE BANCSHARES INC,0.0045
21,"BANKWELL FINANCIAL GROUP, INC.",0.00613
22,CAROLINA FINANCIAL CORP,0.00885
23,BANK OF THE JAMES FINANCIAL GROUP INC,0.02689
24,MACATAWA BANK CORP,0.01989
25,HILLTOP HOLDINGS INC.,0.01156
26,REPUBLIC BANCORP INC /KY/,0.01075
27,EAST WEST BANCORP INC,0.03521
28,ENTERPRISE FINANCIAL SERVICES CORP,0.01757
29,UNITED BANKSHARES INC/WV,0.04042
30,M&T BANK CORP,0.02439
31,"TRISTATE CAPITAL HOLDINGS, INC.",0.01574
32,"TRIUMPH BANCORP, INC.",0.01902
33,"EAGLE BANCORP MONTANA, INC.",0.01274
34,"ATLANTIC CAPITAL BANCSHARES, INC.",0.0468
35,"CAROLINA TRUST BANCSHARES, INC.",0.06034
36,SOUTH STATE CORP,0.02367
37,BANK OF NEW YORK MELLON CORP,0.01935
38,OHIO VALLEY BANC CORP,0.03818
39,SOUTHSIDE BANCSHARES INC,0.03216
40,"FIRST FINANCIAL NORTHWEST, INC.",0.00152
41,COMMERCE BANCSHARES INC /MO/,0.04119
42,FIRST FINANCIAL CORP /IN/,0.01374
