Company_Name,Weight
CALIFORNIA RESOURCES CORP,0.16181
SM ENERGY CO,0.07055
GULFPORT ENERGY CORP,0.00625
ISRAMCO INC,0.03757
ANTERO RESOURCES CORP,0.08452
CALLON PETROLEUM CO,0.07632
ABRAXAS PETROLEUM CORP,0.02884
"DIAMONDBACK ENERGY, INC.",0.03588
SANCHEZ ENERGY CORP,0.00736
CARRIZO OIL & GAS INC,0.02877
"DORCHESTER MINERALS, L.P.",0.02716
CONTANGO OIL & GAS CO,0.04169
SRC ENERGY INC.,0.00429
WHITING PETROLEUM CORP,0.0587
"WPX ENERGY, INC.",0.0338
PANHANDLE OIL & GAS INC,0.05922
PEDEVCO CORP,0.05331
KOSMOS ENERGY LTD.,0.14627
CONCHO RESOURCES INC,0.0377
