Company_Name,Weight
MATADOR RESOURCES CO,0.00905
PIONEER NATURAL RESOURCES CO,0.05451
US ENERGY CORP,0.07274
CALLON PETROLEUM CO,0.01277
NOBLE ENERGY INC,0.01145
OCCIDENTAL PETROLEUM CORP /DE/,0.08187
PEDEVCO CORP,0.14132
GULFPORT ENERGY CORP,0.00323
"NORTHERN OIL & GAS, INC.",0.0102
EARTHSTONE ENERGY INC,0.01707
CIMAREX ENERGY CO,0.04531
"LAREDO PETROLEUM, INC.",0.03225
ANTERO RESOURCES CORP,0.02046
"RING ENERGY, INC.",0.00941
TETRA TECHNOLOGIES INC,0.00442
ABRAXAS PETROLEUM CORP,0.01224
"DORCHESTER MINERALS, L.P.",0.02901
VIPER ENERGY PARTNERS LP,0.04022
"PDC ENERGY, INC.",0.02249
DEVON ENERGY CORP/DE,0.01033
ISRAMCO INC,0.00181
MEXCO ENERGY CORP,0.01792
CONTANGO OIL & GAS CO,0.09631
CONCHO RESOURCES INC,0.00672
"BONANZA CREEK ENERGY, INC.",0.00758
"DIAMONDBACK ENERGY, INC.",0.01651
GRAN TIERRA ENERGY INC.,0.0546
BARNWELL INDUSTRIES INC,0.03795
PANHANDLE OIL & GAS INC,0.07053
CHESAPEAKE ENERGY CORP,0.04972
