Company_Name,Weight
VORNADO REALTY TRUST,0.01771
EQUITY COMMONWEALTH,0.04242
CUBESMART,0.01261
"RYMAN HOSPITALITY PROPERTIES, INC.",0.01746
NATIONAL STORAGE AFFILIATES TRUST,0.03862
EQUITY RESIDENTIAL,0.12677
KILROY REALTY CORP,0.07864
"COLONY NORTHSTAR, INC.",0.00385
CYRUSONE INC.,0.08523
LTC PROPERTIES INC,0.04618
"EMPIRE STATE REALTY TRUST, INC.",0.03364
HIGHWOODS PROPERTIES INC,0.02267
OUTFRONT MEDIA INC.,0.073
"MANHATTAN BRIDGE CAPITAL, INC",0.0098
FRANKLIN STREET PROPERTIES CORP /MA/,0.04327
AMERICAN CAMPUS COMMUNITIES INC,0.06287
CHERRY HILL MORTGAGE INVESTMENT CORP,0.03513
CIM COMMERCIAL TRUST CORP,0.00884
DRIVE SHACK INC.,0.01299
HOWARD HUGHES CORP,0.08041
GEO GROUP INC,0.00966
ISTAR INC.,0.02747
HMG COURTLAND PROPERTIES INC,0.00635
IMPAC MORTGAGE HOLDINGS INC,0.02059
"STARWOOD PROPERTY TRUST, INC.",0.00937
LAMAR ADVERTISING CO/NEW,0.07446
