Company_Name,Weight
INVESTAR HOLDING CORP,0.2
CITIZENS & NORTHERN CORP,0.01769
GUARANTY FEDERAL BANCSHARES INC,0.05649
COMMERCE BANCSHARES INC /MO/,0.05022
BANK OF HAWAII CORP,0.07586
OLD LINE BANCSHARES INC,0.04698
"FAUQUIER BANKSHARES, INC.",0.00114
MACKINAC FINANCIAL CORP /MI/,0.17138
BANK OF THE JAMES FINANCIAL GROUP INC,0.13657
BANK OF NEW YORK MELLON CORP,0.04777
HOPFED BANCORP INC,0.09872
VILLAGE BANK & TRUST FINANCIAL CORP.,0.03703
COMMUNITY WEST BANCSHARES /,0.00747
"CB FINANCIAL SERVICES, INC.",0.05269
