,Company_Name,Weight
0,"CHEMBIO DIAGNOSTICS, INC.",0.02843
1,JOHNSON & JOHNSON,0.17878
2,BIODELIVERY SCIENCES INTERNATIONAL INC,0.0368
3,"PROPHASE LABS, INC.",0.0512
4,ORAMED PHARMACEUTICALS INC.,0.04982
5,XENON PHARMACEUTICALS INC.,0.0135
6,BRISTOL MYERS SQUIBB CO,0.12824
7,PFENEX INC.,0.03777
8,ACHAOGEN INC,0.00515
9,ZOETIS INC.,0.01195
10,MANNKIND CORP,0.02048
11,"ASSEMBLY BIOSCIENCES, INC.",0.05775
12,"ARATANA THERAPEUTICS, INC.",0.03678
13,"IMPRIMIS PHARMACEUTICALS, INC.",0.04181
14,LIPOCINE INC.,0.00683
15,VTV THERAPEUTICS INC.,0.02372
16,"MERCK & CO., INC.",0.2
17,STEMLINE THERAPEUTICS INC,0.04273
18,"CYTOMX THERAPEUTICS, INC.",0.0052
19,"HEAT BIOLOGICS, INC.",0.00297
20,"RECRO PHARMA, INC.",0.0201
