Company_Name,Weight
JOHNSON & JOHNSON,0.17878
"ARATANA THERAPEUTICS, INC.",0.03678
PFENEX INC.,0.03777
"MERCK & CO., INC.",0.2
ZOETIS INC.,0.01195
LIPOCINE INC.,0.00683
"RECRO PHARMA, INC.",0.0201
VTV THERAPEUTICS INC.,0.02372
ACHAOGEN INC,0.00515
"HEAT BIOLOGICS, INC.",0.00297
MANNKIND CORP,0.02048
XENON PHARMACEUTICALS INC.,0.0135
"ASSEMBLY BIOSCIENCES, INC.",0.05775
STEMLINE THERAPEUTICS INC,0.04273
BRISTOL MYERS SQUIBB CO,0.12824
ORAMED PHARMACEUTICALS INC.,0.04982
"CHEMBIO DIAGNOSTICS, INC.",0.02843
BIODELIVERY SCIENCES INTERNATIONAL INC,0.0368
"CYTOMX THERAPEUTICS, INC.",0.0052
"IMPRIMIS PHARMACEUTICALS, INC.",0.04181
"PROPHASE LABS, INC.",0.0512
