name,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31
1ST SOURCE CORP,-0.044261,0.043223000000000004,0.05296,0.008618,-0.026753999999999997,0.13888899999999998,0.134654,0.010076,0.039459,0.005138,0.033014,-0.057131,0.052469999999999996,0.024197000000000003,-0.045621,0.08849399999999999,0.010039,0.006626,-0.038873000000000005,0.057432,-0.052591,0.026358000000000003,0.027261999999999998,0.027308,0.004701,0.058581,-0.005658,-0.060189000000000006,-0.114595,0.043357,-0.16584
"2U, INC.",0.056394,0.189391,0.010291999999999999,0.08347500000000001,-0.08958,-0.051635,-0.08802199999999999,0.129022,0.073737,0.08508900000000001,0.14473,-0.05837,0.097544,0.102941,-0.031884,0.11856299999999999,0.135439,0.007386,0.006396,0.151294,0.114582,0.0151,-0.042128,0.177786,-0.118565,-0.094543,0.18107299999999998,-0.15857200000000002,-0.16332000000000002,-0.071849,-0.148484
3D SYSTEMS CORP,0.022404999999999998,-0.021914,0.082898,0.237931,-0.227298,-0.001442,-0.040433000000000004,0.240783,-0.07822899999999999,-0.015789,0.058155,0.29185099999999997,-0.085575,-0.10160399999999999,-0.25238099999999997,0.066083,-0.07542900000000001,-0.286753,-0.021518000000000002,0.185185,-0.072266,0.22,-0.133736,0.231076,0.117314,-0.118755,0.672145,-0.071253,-0.360847,0.024834000000000002,-0.178514
ABBOTT LABORATORIES,-0.008075,0.145001,-0.061006,0.006425999999999999,-0.065973,-0.029817,0.008931,0.094376,0.079243,-0.014862,-0.011371,0.046288,0.064608,0.017178,0.035787,0.047507,0.021270999999999998,0.039462000000000004,0.012418,0.094095,-0.02944,-0.006796,-0.0252,0.05849,-0.008776,0.079193,0.019835000000000002,0.097546,-0.056434,0.07412200000000001,-0.023228
ABBVIE INC.,-0.016208,0.078986,-0.032161,-0.016069,-0.106548,0.08999599999999999,0.029934,-0.013892999999999999,0.011946000000000002,0.053687,0.021793,0.001213,0.09830399999999999,-0.027031,0.077099,0.18008,0.022845,0.073906,-0.002167,0.16771799999999998,0.032168999999999996,-0.182854,0.030217,0.024754,-0.063574,0.005828,0.040659,-0.014585999999999998,-0.166737,0.210918,-0.022064
ABEONA THERAPEUTICS INC.,-0.191781,0.139831,0.509294,0.47783299999999995,0.091667,-0.045801999999999995,-0.22399999999999998,-0.051546,0.173913,-0.074074,0.13,-0.053097000000000005,0.19626200000000002,0.320312,0.556213,0.296578,0.052786,-0.036212,-0.08381500000000001,-0.037855,-0.09180300000000001,0.036101,0.216028,0.014327000000000001,-0.09604499999999999,-0.096875,0.065744,-0.16883099999999998,-0.328125,-0.046512000000000005,-0.129268
ABRAXAS PETROLEUM CORP,0.0,0.026549,0.206897,0.20714300000000002,-0.041420000000000005,0.296296,0.22381,-0.038911,-0.1417,-0.04717,-0.074257,-0.016043,-0.119565,0.098765,-0.044944,0.105882,0.132979,-0.028169,0.188406,-0.028454999999999998,-0.10041800000000001,0.032558,0.288288,-0.055944,0.07037,-0.10034599999999999,-0.13461499999999998,0.035556000000000004,-0.21030000000000001,-0.11413000000000001,-0.33128799999999997
ACADIA PHARMACEUTICALS INC,-0.083827,0.141097,-0.132559,-0.00996,-0.267212,0.157872,0.068544,0.199376,0.101764,-0.09787499999999999,-0.001454,-0.25109200000000004,0.084792,0.067408,0.196171,0.057849000000000005,-0.075392,-0.131496,-0.004628,-0.006642,-0.16700099999999998,-0.098134,-0.296395,0.144845,-0.156354,-0.011788,-0.057654,0.459916,-0.061657000000000003,-0.021561,-0.15162599999999998
ACADIA REALTY TRUST,0.055162,0.060247999999999996,-0.019118,-0.012182,-0.07036400000000001,-0.0187,0.000907,-0.025703999999999998,0.005967,-0.053387000000000004,-0.032601,-0.066369,0.033517,0.069784,-0.035306000000000004,0.006623,-0.016422000000000003,-0.004263,-0.01427,-0.102339,-0.019544,0.032807,-0.040650000000000006,0.091102,0.073398,-0.010596000000000001,0.053175999999999994,-0.0077139999999999995,-0.006777999999999999,0.029813,-0.161493
ACELRX PHARMACEUTICALS INC,-0.22254300000000002,0.34944200000000003,-0.13223100000000002,0.23492100000000002,-0.280206,0.107143,-0.16129000000000002,0.019231,0.150943,0.032787000000000004,-0.174603,-0.038462,-0.14,0.813953,-0.153846,0.39393900000000004,-0.5869570000000001,0.144737,-0.068966,-0.061728,-0.052632000000000005,0.16666699999999998,0.142857,0.416667,-0.007352999999999999,-0.17037,0.107143,0.241935,0.075325,-0.18599,-0.31454
ACHAOGEN INC,0.155488,0.036939,-0.040712,0.270557,-0.041754,0.244009,1.2802099999999998,0.240399,0.452012,0.075906,-0.045580999999999997,-0.16196000000000002,0.076809,-0.125173,-0.014202999999999999,-0.148879,-0.20250800000000002,-0.059748,-0.102007,0.021415000000000003,-0.049225000000000005,0.24161100000000002,0.10501899999999999,-0.133473,-0.301613,-0.17782900000000001,-0.25702200000000003,-0.245747,-0.035088,-0.5818180000000001,-0.23602499999999998
ACHILLION PHARMACEUTICALS INC,-0.165775,0.061538,-0.002415,-0.019370000000000002,-0.224691,-0.340764,-0.002415,0.009685000000000001,-0.038369,0.049874999999999996,-0.19002400000000003,0.304985,0.031461,-0.106754,0.246341,-0.12133100000000001,-0.104677,-0.22388100000000002,-0.076923,-0.079861,0.226415,0.141538,0.016173,-0.100796,-0.165192,-0.088339,0.337209,0.06666699999999999,-0.222826,0.01049,-0.44982700000000003
"ACI WORLDWIDE, INC.",-0.055663,0.015377,-0.035840000000000004,0.01466,-0.065015,0.027042,-0.024718,0.068871,0.008763,0.092999,0.004675,0.063751,-0.021435,0.035762,-0.017695000000000002,0.000879,0.057068,-0.049833999999999996,-0.009177999999999999,0.033965999999999996,0.008959,0.00296,-0.019815,0.03871,0.021532,0.047426,0.099458,-0.009504,-0.108387,0.151056,-0.041898
"ACLARIS THERAPEUTICS, INC.",-0.075576,0.066594,0.02335,0.270337,-0.170246,0.409412,-0.093823,-0.022476,0.177158,-0.045149,-0.057344,-0.154038,0.140454,0.061947,-0.09965299999999999,-0.004628,-0.023247,-0.059500000000000004,0.040067000000000005,-0.10300100000000001,-0.098553,-0.121364,0.013127999999999999,0.018028,0.10514699999999999,-0.141713,-0.07117899999999999,-0.08794,-0.18112899999999998,-0.21614799999999998,-0.20708200000000002
ACNB CORP,0.042341,0.02947,0.059961,-0.022794,0.012039,0.163569,0.004823,-0.04,-0.026667,-0.0051719999999999995,0.07279,-0.080775,0.079646,-0.06721300000000001,-0.073814,0.059273,0.00722,0.046595000000000004,0.018966,0.023689,-0.06776900000000001,0.044642999999999995,0.025640999999999997,0.057667,0.080952,0.007342,0.050437,0.039106,0.077957,-0.09426399999999999,0.087559
"ACTINIUM PHARMACEUTICALS, INC.",-0.082902,0.00565,0.011236,-0.25,-0.296296,0.063053,-0.133578,0.211429,0.330189,0.070922,0.0,-0.05298,-0.146853,-0.45,-0.09090899999999999,-0.057213,0.086594,0.103377,-0.037563,0.061031,-0.389291,-0.15093,-0.019721,0.07544,0.66277,0.022187000000000002,-0.021706,0.158594,-0.186784,-0.037313,-0.333333
"ACTIVISION BLIZZARD, INC.",0.009424,0.013373999999999999,0.030129000000000003,0.070824,-0.025508000000000003,-0.151957,-0.013656999999999999,0.113542,0.122358,0.111456,0.047934000000000004,0.121148,-0.017241,0.073128,0.061185,-0.016016,0.015191,-0.047183,0.014744,0.17071999999999998,-0.01349,-0.072884,-0.016454,0.06872600000000001,0.076294,-0.037998,-0.017979000000000002,0.153814,-0.16997199999999998,-0.277625,-0.066359
ADAMAS PHARMACEUTICALS INC,-0.099881,-0.002642,-0.09470200000000001,0.200439,-0.16270600000000002,0.09170299999999999,0.126667,-0.060946999999999994,0.16572099999999998,-0.054054000000000005,-0.064,-0.06105000000000001,0.13719099999999998,-0.008005,0.20691600000000002,0.010984,0.164856,0.506488,-0.087752,0.116554,-0.353858,-0.022494999999999998,0.26318,-0.051342,-0.09811500000000001,-0.07936499999999999,-0.031539000000000005,-0.130699,-0.17332699999999998,-0.38126899999999997,-0.16601600000000002
ADAMIS PHARMACEUTICALS CORP,-0.6770470000000001,0.0035709999999999995,0.049822,0.162712,-0.249271,0.087379,0.125,-0.015872999999999998,0.112903,0.231884,-0.129412,0.040541,0.350649,-0.11538500000000002,0.184783,-0.041284,-0.004785,-0.269231,0.157895,-0.170455,-0.178082,0.16666699999999998,0.028571,0.194444,-0.255814,0.0,-0.109375,0.22807,-0.268571,0.191406,-0.262295
ADOBE SYSTEMS INC,-0.036996,0.02161,0.045473,0.060892999999999996,-0.00949,-0.043717,0.001362,0.101311,0.043747,0.099628,0.027741,0.060715000000000005,-0.0029609999999999997,0.035704,0.059185,-0.038541,0.17415199999999997,0.036024,-0.034331,0.139922,0.046905999999999996,0.033233,0.025546000000000003,0.12491,-0.021943,0.003568,0.076958,0.024439000000000002,-0.08960900000000001,0.020874,-0.09824999999999999
"ADVAXIS, INC.",-0.12635,0.030902,0.382494,-0.072853,-0.243218,0.027194,-0.13838699999999998,0.25139700000000004,-0.018973,-0.070535,0.047736,-0.057243,-0.19578700000000002,-0.0030819999999999997,0.05255,-0.386197,-0.186603,-0.120588,-0.050167,0.04225399999999999,-0.371622,-0.091398,-0.053254,0.1375,-0.20329699999999998,0.0068969999999999995,-0.006848999999999999,-0.35172400000000004,-0.40319099999999997,-0.269162,-0.536585
"AEGLEA BIOTHERAPEUTICS, INC.",-0.35200000000000004,-0.012325,0.174976,0.136525,-0.163807,-0.035448,-0.158607,-0.082759,0.553885,0.20161300000000001,-0.040268,-0.40979,-0.08767799999999999,-0.114286,0.205279,0.199416,-0.11148999999999999,-0.086758,0.3525,0.19778199999999999,0.118827,0.368276,-0.058468,0.14346899999999999,-0.009363,-0.205104,0.299643,-0.124428,-0.098224,-0.024333999999999998,-0.110451
