,Company_Name,Weight
0,"PULMATRIX, INC.",0.0464
1,EVOKE PHARMA INC,0.03418
2,"CYMABAY THERAPEUTICS, INC.",0.02862
3,"KEMPHARM, INC",0.10939
4,"PTC THERAPEUTICS, INC.",0.03829
5,KARYOPHARM THERAPEUTICS INC.,0.00705
6,XENON PHARMACEUTICALS INC.,0.02151
7,"GLOBAL BLOOD THERAPEUTICS, INC.",0.00722
8,ZOETIS INC.,0.2
9,"HEAT BIOLOGICS, INC.",0.10194
10,CORMEDIX INC.,0.05046
11,ORAGENICS INC,0.05827
12,"ASSEMBLY BIOSCIENCES, INC.",0.04575
13,"FIBROCELL SCIENCE, INC.",0.03272
14,BLUEPRINT MEDICINES CORP,0.07584
15,"CHIASMA, INC",0.14235
